pagina,classe,n_chars,n_palavras,qualidade_pagina
1,inicio_capitulo,6084,307,boa
2,corpo,586,78,boa
3,corpo,58,9,boa
4,paratexto,945,143,boa
5,paratexto,1142,185,boa
6,paratexto,2295,394,boa
7,paratexto,3158,585,boa
8,paratexto,3354,578,boa
9,paratexto,2125,368,boa
10,paratexto,2596,443,boa
11,paratexto,2304,396,boa
12,paratexto,2386,403,boa
13,paratexto,2174,379,boa
14,paratexto,2563,436,boa
15,paratexto,2036,357,boa
16,paratexto,2260,398,boa
17,paratexto,2126,366,boa
18,paratexto,2169,380,boa
19,paratexto,2945,509,boa
20,paratexto,2632,449,boa
21,paratexto,1246,219,boa
22,paratexto,3427,572,boa
23,paratexto,3381,538,boa
24,paratexto,1610,291,boa
25,paratexto,1861,318,boa
26,paratexto,2766,476,boa
27,paratexto,3184,522,boa
28,paratexto,2491,430,boa
29,paratexto,3156,557,boa
30,paratexto,2753,455,boa
31,paratexto,2471,413,boa
32,paratexto,3119,542,boa
33,paratexto,3120,543,boa
34,paratexto,2494,433,boa
35,paratexto,3244,559,boa
36,paratexto,2405,427,boa
37,paratexto,2497,431,boa
38,paratexto,3126,561,boa
39,paratexto,1175,201,boa
40,paratexto,1064,179,media
41,paratexto,3261,544,boa
42,paratexto,3096,521,boa
43,paratexto,2664,446,boa
44,paratexto,2210,376,boa
45,paratexto,2217,397,boa
46,paratexto,3177,564,boa
47,paratexto,1925,325,boa
48,paratexto,2105,366,boa
49,paratexto,2034,349,boa
50,paratexto,2201,388,boa
51,paratexto,3068,545,boa
52,paratexto,2140,369,boa
53,paratexto,2228,392,boa
54,paratexto,2752,459,boa
55,paratexto,3090,535,boa
56,paratexto,1861,304,boa
57,paratexto,3310,574,boa
58,paratexto,3270,559,boa
59,paratexto,2626,432,boa
60,paratexto,1970,340,boa
61,paratexto,2616,455,boa
62,paratexto,2941,511,boa
63,paratexto,2159,386,boa
64,paratexto,2971,523,boa
65,paratexto,2458,400,boa
66,paratexto,2806,470,boa
67,paratexto,3179,547,boa
68,paratexto,2693,482,boa
69,paratexto,2468,424,boa
70,paratexto,2980,542,boa
71,paratexto,1598,234,boa
72,qualidade_baixa,201,26,baixa
73,paratexto,2345,415,boa
74,paratexto,2948,512,boa
75,paratexto,3120,506,boa
76,paratexto,2919,511,boa
77,paratexto,1324,222,boa
78,paratexto,2783,477,boa
79,paratexto,3473,632,boa
80,paratexto,3500,617,boa
81,paratexto,3521,605,boa
82,paratexto,3314,559,boa
83,paratexto,3200,547,boa
84,paratexto,1474,265,boa
85,paratexto,3283,580,boa
86,paratexto,3230,577,boa
87,paratexto,2863,481,boa
88,paratexto,3218,554,boa
89,paratexto,3093,525,boa
90,paratexto,2472,442,boa
91,paratexto,3030,523,boa
92,paratexto,3393,560,boa
93,paratexto,2884,473,boa
94,paratexto,2618,447,boa
95,paratexto,3419,569,boa
96,paratexto,3533,590,boa
97,paratexto,3079,510,boa
98,paratexto,3343,519,boa
99,paratexto,3152,520,boa
100,paratexto,3330,561,boa
101,paratexto,3116,527,boa
102,paratexto,3059,526,boa
103,paratexto,2001,353,boa
104,paratexto,3142,548,boa
105,paratexto,3196,524,boa
106,paratexto,3132,537,boa
107,paratexto,3402,581,boa
108,paratexto,3023,520,boa
109,paratexto,2759,478,boa
110,paratexto,2991,521,boa
111,paratexto,2952,502,boa
112,paratexto,3097,522,boa
113,paratexto,3264,563,boa
114,paratexto,2345,411,boa
115,paratexto,3275,562,boa
116,paratexto,1254,211,boa
117,paratexto,3365,592,boa
118,paratexto,3119,533,boa
119,paratexto,3057,530,boa
120,paratexto,2920,511,boa
121,paratexto,3274,579,boa
122,paratexto,2182,370,boa
123,paratexto,3286,534,boa
124,paratexto,1845,323,boa
125,paratexto,2925,499,boa
126,paratexto,2981,517,boa
127,paratexto,3002,527,boa
128,paratexto,2609,460,boa
129,paratexto,2685,464,boa
130,paratexto,3143,540,boa
131,paratexto,2712,465,boa
132,paratexto,3199,550,boa
133,paratexto,3162,531,boa
134,paratexto,3088,522,boa
135,paratexto,2620,430,boa
136,paratexto,2203,381,boa
137,paratexto,3038,515,boa
138,paratexto,2905,500,boa
139,paratexto,3298,588,boa
140,paratexto,3175,535,boa
141,paratexto,3332,565,boa
142,paratexto,3253,531,boa
143,paratexto,3166,509,boa
144,paratexto,3268,593,boa
145,paratexto,3231,577,boa
146,paratexto,3179,567,boa
147,paratexto,2913,516,boa
148,paratexto,2908,487,boa
149,paratexto,2898,483,boa
150,paratexto,3352,562,boa
151,paratexto,3396,588,boa
152,paratexto,3171,531,boa
153,paratexto,3379,605,boa
154,paratexto,3442,633,boa
155,paratexto,2678,466,boa
156,paratexto,3430,580,boa
157,paratexto,3082,511,boa
158,paratexto,1181,187,boa
159,paratexto,2836,489,boa
160,paratexto,2110,359,boa
161,paratexto,2402,384,boa
162,paratexto,2616,446,boa
163,paratexto,3383,590,boa
164,paratexto,3258,569,boa
165,paratexto,3235,549,boa
166,paratexto,3085,525,boa
167,paratexto,3236,568,boa
168,paratexto,3188,564,boa
169,paratexto,2471,421,boa
170,paratexto,2750,474,boa
171,paratexto,2417,423,boa
172,paratexto,3277,558,boa
173,paratexto,3506,616,boa
174,paratexto,2904,483,boa
175,paratexto,3478,608,boa
176,paratexto,3156,539,boa
177,paratexto,1300,208,boa
178,paratexto,2808,464,boa
179,paratexto,3116,556,boa
180,paratexto,2172,356,boa
181,paratexto,2145,349,boa
182,paratexto,1916,271,boa
183,paratexto,3294,573,boa
184,paratexto,3023,512,boa
185,paratexto,3095,536,boa
186,paratexto,1986,330,boa
187,paratexto,2005,341,boa
188,paratexto,1883,325,boa
189,paratexto,1221,201,boa
190,paratexto,1040,174,boa
191,paratexto,994,165,boa
192,paratexto,2779,449,boa
193,paratexto,3125,531,boa
194,paratexto,2996,510,boa
195,paratexto,2113,350,boa
196,paratexto,3115,534,boa
197,paratexto,1135,197,boa
198,paratexto,3295,571,boa
199,paratexto,2805,472,boa
200,paratexto,3186,533,boa
201,paratexto,3195,550,boa
202,paratexto,2523,427,boa
203,paratexto,3388,552,boa
204,paratexto,3056,518,boa
205,paratexto,3300,559,boa
206,paratexto,3371,587,boa
207,paratexto,3279,548,boa
208,paratexto,3319,561,boa
209,paratexto,2607,429,boa
210,paratexto,3268,550,boa
211,paratexto,3355,545,boa
212,paratexto,1635,273,boa
213,paratexto,2249,369,boa
214,paratexto,1665,261,boa
215,paratexto,3254,539,boa
216,paratexto,2706,460,boa
217,paratexto,2804,501,boa
218,paratexto,3240,520,boa
219,paratexto,3114,559,boa
220,paratexto,3125,530,boa
221,paratexto,3158,584,boa
222,paratexto,2992,524,boa
223,paratexto,2360,382,boa
224,paratexto,3475,601,boa
225,paratexto,3353,544,boa
226,paratexto,2986,500,boa
227,paratexto,3032,524,boa
228,paratexto,3476,601,boa
229,paratexto,2683,458,boa
230,paratexto,2738,456,boa
231,paratexto,2982,526,boa
232,paratexto,2690,462,boa
233,paratexto,2437,397,boa
234,paratexto,2269,378,boa
235,paratexto,2229,374,boa
236,paratexto,3299,570,boa
237,paratexto,2940,503,boa
238,paratexto,3398,594,boa
239,paratexto,2850,479,boa
240,paratexto,3244,578,boa
241,paratexto,2468,424,boa
242,paratexto,3184,544,boa
243,paratexto,3312,555,boa
244,paratexto,3188,559,boa
245,paratexto,3376,561,boa
246,paratexto,3271,575,boa
247,paratexto,3258,540,boa
248,paratexto,3397,580,boa
249,paratexto,2984,494,boa
