pagina,classe,n_chars,n_palavras,qualidade_pagina
1,qualidade_baixa,0,0,baixa
2,corpo,216,23,boa
3,corpo,754,68,boa
4,corpo,94,13,boa
5,qualidade_baixa,0,0,baixa
6,paratexto,1896,291,boa
7,paratexto,1531,254,boa
8,paratexto,1090,113,boa
9,paratexto,429,34,boa
10,paratexto,126,21,boa
11,qualidade_baixa,0,0,baixa
12,paratexto,1754,308,boa
13,paratexto,2650,441,boa
14,paratexto,2896,440,boa
15,paratexto,2620,441,boa
16,paratexto,2578,439,boa
17,paratexto,2644,433,boa
18,paratexto,2576,443,boa
19,paratexto,2692,460,boa
20,paratexto,2811,450,boa
21,paratexto,2441,410,boa
22,paratexto,2654,462,boa
23,paratexto,2734,471,boa
24,paratexto,2804,469,boa
25,paratexto,1863,277,boa
26,paratexto,2708,442,boa
27,paratexto,2651,438,boa
28,paratexto,2640,447,boa
29,paratexto,2675,443,boa
30,paratexto,2703,457,boa
31,paratexto,2793,451,boa
32,paratexto,2747,457,boa
33,paratexto,2703,469,boa
34,paratexto,1556,261,boa
35,paratexto,1902,318,boa
36,paratexto,1357,230,boa
37,paratexto,2640,463,boa
38,paratexto,2609,446,boa
39,paratexto,1390,232,boa
40,paratexto,2588,438,boa
41,paratexto,2876,487,boa
42,paratexto,900,151,boa
43,paratexto,2676,455,boa
44,paratexto,86,16,boa
45,paratexto,2582,468,boa
46,paratexto,89,23,boa
47,paratexto,2502,440,boa
48,paratexto,86,16,boa
49,paratexto,2451,398,boa
50,paratexto,2690,455,boa
51,paratexto,2666,455,boa
52,paratexto,1378,223,boa
53,paratexto,1418,235,boa
54,paratexto,2647,460,boa
55,paratexto,1425,243,boa
56,paratexto,89,18,boa
57,paratexto,2636,464,boa
58,paratexto,2627,445,boa
59,paratexto,1410,240,boa
60,paratexto,2629,481,boa
61,paratexto,52,6,boa
62,paratexto,2599,439,boa
63,paratexto,60,11,boa
64,paratexto,2592,437,boa
65,paratexto,2630,453,boa
66,paratexto,1456,242,boa
67,paratexto,2516,404,boa
68,paratexto,3007,428,boa
69,paratexto,2701,473,boa
70,paratexto,1422,232,boa
71,paratexto,2635,465,boa
72,paratexto,2668,465,boa
73,paratexto,61,15,boa
74,paratexto,2567,449,boa
75,paratexto,2663,473,boa
76,paratexto,1416,248,boa
77,paratexto,2620,443,boa
78,paratexto,2582,445,boa
79,paratexto,1356,217,boa
80,paratexto,2142,336,boa
81,paratexto,2281,344,boa
82,paratexto,1863,233,boa
83,paratexto,2081,300,boa
84,paratexto,2266,320,boa
85,paratexto,2606,428,boa
86,paratexto,93,25,boa
87,paratexto,2508,424,boa
88,paratexto,89,22,boa
89,paratexto,2669,446,boa
90,paratexto,1182,163,boa
91,paratexto,1870,318,boa
92,paratexto,2495,416,boa
93,paratexto,2671,433,boa
94,paratexto,2624,432,boa
95,paratexto,2339,388,boa
96,paratexto,2616,416,boa
97,paratexto,2673,433,boa
98,paratexto,2688,473,boa
99,paratexto,2753,476,boa
100,paratexto,2382,276,boa
101,paratexto,2653,439,boa
102,paratexto,2715,457,boa
103,paratexto,3665,265,boa
104,paratexto,2705,455,boa
105,paratexto,2751,467,boa
106,paratexto,2668,474,boa
107,paratexto,2600,438,boa
108,paratexto,2638,424,boa
109,paratexto,2507,408,boa
110,paratexto,2542,409,boa
111,paratexto,2093,264,boa
112,paratexto,2582,427,boa
113,paratexto,2516,407,boa
114,paratexto,2479,389,boa
115,paratexto,2639,427,boa
116,paratexto,2618,407,boa
117,paratexto,2512,429,boa
118,paratexto,2634,471,boa
119,paratexto,2653,471,boa
120,paratexto,2592,449,boa
121,paratexto,2148,328,boa
122,paratexto,2701,435,boa
123,paratexto,2182,367,boa
124,paratexto,1919,315,boa
125,paratexto,2609,446,boa
126,paratexto,2680,438,boa
127,paratexto,2568,413,boa
128,paratexto,2513,415,boa
129,paratexto,2350,391,boa
130,paratexto,2642,450,boa
131,paratexto,2628,427,boa
132,paratexto,2624,419,boa
133,paratexto,2579,445,boa
134,paratexto,2726,470,boa
135,paratexto,2685,469,boa
136,paratexto,2724,447,boa
137,paratexto,2606,444,boa
138,paratexto,2443,425,boa
139,paratexto,2725,465,boa
140,paratexto,2636,437,boa
141,paratexto,2387,356,boa
142,paratexto,2741,450,boa
143,paratexto,2677,461,boa
144,paratexto,2482,415,boa
145,paratexto,2228,365,boa
146,paratexto,2607,454,boa
147,paratexto,2599,448,boa
148,paratexto,2818,481,boa
149,paratexto,2620,464,boa
150,paratexto,2633,452,boa
151,paratexto,2632,313,boa
152,paratexto,2668,443,boa
153,paratexto,1812,236,boa
154,paratexto,2760,463,boa
155,paratexto,2202,367,boa
156,paratexto,1810,295,boa
157,paratexto,2500,433,boa
158,paratexto,2620,430,boa
159,paratexto,2611,459,boa
160,paratexto,2631,434,boa
161,paratexto,2705,476,boa
162,paratexto,2715,447,boa
163,paratexto,2642,432,boa
164,paratexto,2497,407,boa
165,paratexto,2724,434,boa
166,paratexto,2724,457,boa
167,paratexto,2561,427,boa
168,paratexto,2700,423,boa
169,paratexto,2653,439,boa
170,paratexto,1892,256,boa
171,paratexto,2352,362,boa
172,paratexto,2738,450,boa
173,paratexto,2596,425,boa
174,paratexto,2653,424,boa
175,paratexto,2430,388,boa
176,paratexto,2694,462,boa
177,paratexto,2656,412,boa
178,paratexto,2597,419,boa
179,paratexto,2503,420,boa
180,paratexto,2622,426,boa
181,paratexto,2730,459,boa
182,paratexto,2158,269,boa
183,paratexto,2598,412,boa
184,paratexto,1154,181,boa
185,paratexto,1780,278,boa
186,paratexto,2652,446,boa
187,paratexto,2482,418,boa
188,paratexto,2732,491,boa
189,paratexto,2510,444,boa
190,paratexto,2678,350,boa
191,paratexto,2584,437,boa
192,paratexto,1998,317,boa
193,paratexto,2670,447,boa
194,paratexto,2480,424,boa
195,paratexto,1822,233,boa
196,paratexto,2513,432,boa
197,paratexto,2586,427,boa
198,paratexto,2756,348,boa
199,paratexto,2764,470,boa
200,paratexto,2681,451,boa
201,paratexto,2573,428,boa
202,paratexto,2651,441,boa
203,paratexto,2647,450,boa
204,paratexto,2245,357,boa
205,paratexto,2703,458,boa
206,paratexto,1915,272,boa
207,paratexto,2597,408,boa
208,paratexto,2630,425,boa
209,paratexto,2438,394,boa
210,paratexto,2453,337,boa
211,paratexto,2658,462,boa
212,paratexto,2250,356,boa
213,paratexto,2531,406,boa
214,paratexto,2523,417,boa
215,paratexto,2458,372,boa
216,paratexto,2191,283,boa
217,paratexto,2604,432,boa
218,paratexto,2484,397,boa
219,paratexto,2326,350,boa
220,paratexto,2539,407,boa
221,paratexto,2367,354,boa
222,paratexto,2398,395,boa
223,paratexto,2651,450,boa
224,paratexto,2721,262,boa
225,paratexto,2638,443,boa
226,paratexto,833,141,boa
227,paratexto,1885,303,boa
228,paratexto,2695,463,boa
229,paratexto,2655,465,boa
230,paratexto,2456,436,boa
231,paratexto,2620,446,boa
232,paratexto,2501,439,boa
233,paratexto,2728,443,boa
234,paratexto,2768,473,boa
235,paratexto,2610,447,boa
236,paratexto,2621,442,boa
237,paratexto,2608,427,boa
238,paratexto,2698,472,boa
239,paratexto,2536,421,boa
240,paratexto,2730,470,boa
241,paratexto,2502,413,boa
242,paratexto,2690,445,boa
243,paratexto,2537,418,boa
244,paratexto,2782,474,boa
245,paratexto,2734,484,boa
