pagina,classe,n_chars,n_palavras,qualidade_pagina
1,qualidade_baixa,0,0,baixa
2,corpo,16,2,boa
3,corpo,35,5,boa
4,corpo,210,31,boa
5,corpo,635,93,boa
6,paratexto,2004,147,boa
7,paratexto,3294,202,boa
8,paratexto,720,108,boa
9,paratexto,352,42,boa
10,paratexto,734,104,boa
11,paratexto,35,5,boa
12,paratexto,2000,294,boa
13,paratexto,2780,453,boa
14,paratexto,2790,457,boa
15,paratexto,1285,200,boa
16,paratexto,1679,290,boa
17,paratexto,3425,561,boa
18,paratexto,2827,436,boa
19,paratexto,2781,410,boa
20,paratexto,2782,421,boa
21,paratexto,2789,416,boa
22,paratexto,2313,350,boa
23,paratexto,2453,372,boa
24,paratexto,2606,393,boa
25,paratexto,2658,398,boa
26,paratexto,2727,401,boa
27,paratexto,2701,381,boa
28,paratexto,2550,394,boa
29,paratexto,2804,399,boa
30,paratexto,2877,450,boa
31,paratexto,2748,419,boa
32,paratexto,2771,436,boa
33,paratexto,2859,446,boa
34,paratexto,2581,391,boa
35,paratexto,2622,408,boa
36,paratexto,2802,435,boa
37,paratexto,2772,410,boa
38,paratexto,2741,437,boa
39,paratexto,2792,420,boa
40,paratexto,2775,544,boa
41,paratexto,2549,404,boa
42,paratexto,2464,387,boa
43,paratexto,1742,281,boa
44,paratexto,1425,225,boa
45,paratexto,2766,431,boa
46,paratexto,2549,412,boa
47,qualidade_baixa,0,0,baixa
48,paratexto,2804,478,boa
49,paratexto,2732,442,boa
50,paratexto,2771,441,boa
51,paratexto,2845,478,boa
52,paratexto,2811,452,boa
53,paratexto,2758,402,boa
54,paratexto,2680,423,boa
55,paratexto,2776,411,boa
56,paratexto,2837,450,boa
57,paratexto,2804,413,boa
58,qualidade_baixa,0,0,baixa
59,paratexto,2747,460,boa
60,paratexto,815,141,boa
61,paratexto,2810,451,boa
62,paratexto,2773,415,boa
63,paratexto,2913,570,boa
64,paratexto,2726,430,boa
65,paratexto,2861,504,boa
66,paratexto,2721,428,boa
67,paratexto,2775,454,boa
68,qualidade_baixa,0,0,baixa
69,paratexto,2803,439,boa
70,paratexto,2641,430,boa
71,paratexto,2766,451,boa
72,paratexto,2790,456,boa
73,paratexto,2576,378,boa
74,paratexto,2727,414,boa
75,paratexto,2673,429,boa
76,paratexto,2878,560,boa
77,paratexto,2785,420,boa
78,paratexto,2807,455,boa
79,paratexto,2605,476,boa
80,paratexto,2540,450,boa
81,paratexto,2779,439,boa
82,paratexto,2524,384,boa
83,qualidade_baixa,0,0,baixa
84,paratexto,2653,420,boa
85,paratexto,2786,433,boa
86,paratexto,2697,437,boa
87,paratexto,2576,411,boa
88,paratexto,2784,445,boa
89,paratexto,2759,420,boa
90,paratexto,4015,668,boa
91,paratexto,2983,484,boa
92,paratexto,45,3,boa
93,paratexto,35,5,boa
94,paratexto,49,4,boa
95,paratexto,32,4,media
96,paratexto,49,4,boa
97,paratexto,32,4,media
98,paratexto,49,4,boa
99,paratexto,32,4,media
100,paratexto,49,4,boa
101,paratexto,34,4,media
102,paratexto,50,4,boa
103,paratexto,34,4,media
104,paratexto,50,4,boa
105,paratexto,35,5,boa
106,paratexto,1474,235,boa
107,paratexto,2891,450,boa
108,paratexto,2505,406,boa
109,paratexto,2796,443,boa
110,paratexto,648,98,boa
111,paratexto,2745,450,boa
112,paratexto,2713,441,boa
113,paratexto,2608,418,boa
114,paratexto,2563,399,boa
115,paratexto,2621,415,boa
116,paratexto,1116,174,boa
117,paratexto,2636,400,boa
118,paratexto,2588,404,boa
119,paratexto,2425,430,boa
120,paratexto,2531,410,boa
121,paratexto,2531,415,boa
122,paratexto,2516,405,boa
123,paratexto,2295,343,boa
124,paratexto,2607,434,boa
125,paratexto,2536,398,boa
126,paratexto,2501,490,boa
127,paratexto,2801,443,boa
128,paratexto,2762,425,boa
129,paratexto,2741,416,boa
130,paratexto,2507,389,boa
131,paratexto,2615,417,boa
132,paratexto,2727,425,boa
133,paratexto,676,108,boa
134,paratexto,933,130,boa
135,paratexto,2550,399,boa
136,paratexto,2622,439,boa
137,paratexto,2801,435,boa
138,paratexto,730,109,boa
139,paratexto,2786,411,boa
140,paratexto,2800,457,boa
141,paratexto,2456,391,boa
142,paratexto,2434,410,boa
143,paratexto,2634,423,boa
144,paratexto,2739,431,boa
145,paratexto,2673,405,boa
146,paratexto,2726,430,boa
147,paratexto,2753,431,boa
148,paratexto,1581,253,boa
149,paratexto,2676,418,boa
150,paratexto,3475,552,boa
151,paratexto,3919,643,boa
152,paratexto,1513,231,boa
153,paratexto,2770,418,boa
154,paratexto,2830,417,boa
155,paratexto,2554,361,boa
156,paratexto,2624,383,boa
157,paratexto,2834,419,boa
158,paratexto,2721,416,boa
159,paratexto,2709,410,boa
160,paratexto,2784,430,boa
161,paratexto,2628,416,boa
162,paratexto,2501,406,boa
163,paratexto,2702,408,boa
164,paratexto,2591,399,boa
165,paratexto,2414,387,boa
166,paratexto,2306,434,boa
167,paratexto,2903,434,boa
168,paratexto,762,112,boa
169,paratexto,2759,422,boa
170,paratexto,2774,447,boa
171,paratexto,2587,404,boa
172,paratexto,2597,413,boa
173,paratexto,2591,430,boa
174,paratexto,2495,375,boa
175,paratexto,2567,401,boa
176,paratexto,2785,443,boa
177,paratexto,2929,461,boa
178,paratexto,2817,444,boa
179,paratexto,2655,416,boa
180,paratexto,2717,434,boa
181,paratexto,2846,474,boa
182,paratexto,722,114,boa
183,paratexto,2763,437,boa
184,paratexto,2653,420,boa
185,paratexto,3908,604,boa
186,paratexto,3918,597,boa
187,paratexto,2845,452,boa
188,paratexto,1425,215,boa
189,paratexto,2734,422,boa
190,paratexto,2524,404,boa
191,paratexto,2457,416,boa
192,paratexto,2586,434,boa
193,paratexto,2151,342,boa
194,paratexto,2855,471,boa
195,paratexto,2565,407,boa
196,paratexto,2490,456,boa
197,paratexto,2507,443,boa
198,paratexto,2835,462,boa
199,paratexto,2756,426,boa
200,paratexto,2570,450,boa
201,paratexto,2524,400,boa
202,paratexto,391,54,boa
203,paratexto,2594,454,boa
204,paratexto,2311,350,boa
205,paratexto,2635,406,boa
206,paratexto,2613,402,boa
207,paratexto,2648,396,boa
208,paratexto,2768,425,boa
209,paratexto,2203,319,boa
210,paratexto,2032,282,boa
211,paratexto,2042,282,boa
212,paratexto,2576,389,boa
213,paratexto,2826,455,boa
214,paratexto,2754,427,boa
215,paratexto,2471,385,boa
216,paratexto,846,131,boa
217,paratexto,2597,405,boa
218,paratexto,2007,303,boa
219,paratexto,2841,490,boa
220,paratexto,2891,457,boa
221,qualidade_baixa,0,0,baixa
222,qualidade_baixa,4,1,baixa
223,qualidade_baixa,4,1,baixa
224,paratexto,2718,433,boa
225,paratexto,2767,450,boa
226,qualidade_baixa,4,1,baixa
227,paratexto,2761,458,boa
228,paratexto,2789,447,boa
229,paratexto,2676,455,boa
230,paratexto,2825,457,boa
231,paratexto,3279,511,boa
232,paratexto,3896,605,boa
233,paratexto,3924,616,boa
234,paratexto,1888,301,boa
235,paratexto,35,5,boa
236,paratexto,1491,226,boa
237,paratexto,2751,428,boa
238,paratexto,2720,430,boa
239,paratexto,2784,426,boa
240,paratexto,2831,434,boa
241,paratexto,2587,408,boa
242,paratexto,2748,449,boa
243,paratexto,2831,461,boa
244,paratexto,2757,446,boa
245,paratexto,2534,417,boa
246,paratexto,2762,468,boa
247,paratexto,2814,455,boa
248,paratexto,2729,450,boa
249,paratexto,1000,165,boa
250,paratexto,945,145,boa
251,paratexto,700,97,boa
252,paratexto,2871,446,boa
253,paratexto,2652,415,boa
254,paratexto,2678,408,boa
255,paratexto,2754,448,boa
256,paratexto,2720,455,boa
257,paratexto,2705,433,boa
258,paratexto,2727,436,boa
259,paratexto,3200,478,boa
260,paratexto,3952,631,boa
261,paratexto,4001,632,boa
262,paratexto,1232,198,boa
263,paratexto,35,5,boa
264,paratexto,2547,341,boa
265,paratexto,3187,434,boa
266,paratexto,3009,427,boa
267,paratexto,2994,416,boa
268,paratexto,2840,398,boa
269,paratexto,2815,405,boa
270,paratexto,2909,420,boa
271,paratexto,2861,415,boa
272,paratexto,1010,140,boa
273,paratexto,35,5,boa
274,paratexto,2626,422,boa
275,paratexto,3050,464,boa
276,paratexto,2933,433,boa
277,paratexto,2973,448,boa
278,paratexto,2732,416,boa
279,paratexto,2975,437,boa
280,paratexto,2747,407,boa
281,paratexto,3001,451,boa
282,paratexto,2805,444,boa
283,paratexto,2919,427,boa
284,paratexto,2984,469,boa
285,paratexto,2751,446,boa
286,paratexto,3190,451,boa
287,paratexto,1342,195,boa
288,paratexto,2718,404,boa
289,paratexto,3143,470,boa
290,paratexto,3446,518,boa
291,paratexto,734,98,boa
292,paratexto,3048,345,boa
293,paratexto,3441,429,boa
294,paratexto,3492,404,boa
295,paratexto,1375,162,boa
296,qualidade_baixa,0,0,baixa
