Source,Target,Type,Weight
author,construction,Undirected,10
author,leave,Undirected,10
author,life,Undirected,8
author,new,Undirected,26
author,scientific,Undirected,39
author,university,Undirected,3
construction,leave,Undirected,6
construction,life,Undirected,19
construction,new,Undirected,34
construction,press,Undirected,4
construction,scientific,Undirected,35
construction,university,Undirected,5
leave,life,Undirected,6
leave,new,Undirected,19
leave,scientific,Undirected,20
life,new,Undirected,38
life,press,Undirected,7
life,scientific,Undirected,46
life,university,Undirected,7
new,press,Undirected,40
new,scientific,Undirected,62
new,university,Undirected,36
press,scientific,Undirected,32
press,university,Undirected,66
scientific,university,Undirected,28
acid,book,Undirected,3
acid,paper,Undirected,14
acid,press,Undirected,3
acid,production,Undirected,3
acid,right,Undirected,5
book,paper,Undirected,13
book,press,Undirected,3
book,right,Undirected,10
paper,press,Undirected,5
paper,production,Undirected,7
paper,right,Undirected,8
paper,university,Undirected,7
press,production,Undirected,3
press,right,Undirected,4
production,right,Undirected,3
production,university,Undirected,4
right,university,Undirected,4
argument,article,Undirected,13
argument,construction,Undirected,23
argument,culture,Undirected,5
argument,fact,Undirected,43
argument,inscription,Undirected,14
argument,laboratory,Undirected,58
argument,observer,Undirected,15
argument,order,Undirected,21
argument,participant,Undirected,16
argument,resource,Undirected,8
argument,science,Undirected,45
argument,scientific,Undirected,30
argument,scientist,Undirected,44
argument,second,Undirected,7
argument,social,Undirected,22
article,construction,Undirected,9
article,fact,Undirected,35
article,inscription,Undirected,12
article,laboratory,Undirected,44
article,observer,Undirected,16
article,order,Undirected,14
article,participant,Undirected,12
article,resource,Undirected,19
article,science,Undirected,25
article,scientific,Undirected,24
article,scientist,Undirected,15
article,second,Undirected,7
article,social,Undirected,8
construction,culture,Undirected,7
construction,fact,Undirected,106
construction,inscription,Undirected,17
construction,laboratory,Undirected,65
construction,observer,Undirected,11
construction,order,Undirected,29
construction,participant,Undirected,9
construction,resource,Undirected,6
construction,science,Undirected,47
construction,scientist,Undirected,43
construction,second,Undirected,5
construction,social,Undirected,36
culture,fact,Undirected,16
culture,inscription,Undirected,5
culture,laboratory,Undirected,29
culture,observer,Undirected,11
culture,order,Undirected,13
culture,participant,Undirected,5
culture,resource,Undirected,3
culture,science,Undirected,27
culture,scientific,Undirected,20
culture,scientist,Undirected,19
culture,second,Undirected,5
culture,social,Undirected,14
fact,inscription,Undirected,31
fact,laboratory,Undirected,118
fact,observer,Undirected,32
fact,order,Undirected,45
fact,participant,Undirected,25
fact,resource,Undirected,29
fact,science,Undirected,120
fact,scientific,Undirected,93
fact,scientist,Undirected,91
fact,second,Undirected,16
fact,social,Undirected,41
inscription,laboratory,Undirected,68
inscription,observer,Undirected,23
inscription,order,Undirected,19
inscription,participant,Undirected,15
inscription,resource,Undirected,8
inscription,science,Undirected,9
inscription,scientific,Undirected,13
inscription,scientist,Undirected,28
inscription,second,Undirected,7
inscription,social,Undirected,5
laboratory,observer,Undirected,74
laboratory,order,Undirected,70
laboratory,participant,Undirected,50
laboratory,resource,Undirected,42
laboratory,science,Undirected,145
laboratory,scientific,Undirected,109
laboratory,scientist,Undirected,145
laboratory,second,Undirected,32
laboratory,social,Undirected,61
observer,order,Undirected,29
observer,participant,Undirected,27
observer,resource,Undirected,5
observer,science,Undirected,30
observer,scientific,Undirected,27
observer,scientist,Undirected,40
observer,second,Undirected,4
observer,social,Undirected,13
order,participant,Undirected,13
order,resource,Undirected,14
order,science,Undirected,64
order,scientific,Undirected,37
order,scientist,Undirected,56
order,second,Undirected,14
order,social,Undirected,31
participant,resource,Undirected,7
participant,science,Undirected,16
participant,scientific,Undirected,18
participant,scientist,Undirected,25
participant,second,Undirected,3
participant,social,Undirected,12
resource,science,Undirected,31
resource,scientific,Undirected,28
resource,scientist,Undirected,28
resource,second,Undirected,14
resource,social,Undirected,9
science,scientific,Undirected,192
science,scientist,Undirected,211
science,second,Undirected,46
science,social,Undirected,170
scientific,scientist,Undirected,103
scientific,second,Undirected,19
scientific,social,Undirected,83
scientist,second,Undirected,29
scientist,social,Undirected,83
second,social,Undirected,17
case,construction,Undirected,8
case,different,Undirected,23
case,fact,Undirected,35
case,laboratory,Undirected,42
case,life,Undirected,11
case,nature,Undirected,10
case,new,Undirected,35
case,object,Undirected,13
case,statement,Undirected,26
case,trf,Undirected,11
case,type,Undirected,7
construction,different,Undirected,16
construction,nature,Undirected,10
construction,object,Undirected,21
construction,statement,Undirected,28
construction,trf,Undirected,29
