lemma,Dim 1,Dim 2
science,0.05405258593876272,0.23842420075654366
make,-0.16635479010287071,-0.018018873415609232
can,-0.042626792874063506,0.1762806178804873
laboratory,0.827635371085563,0.03020421540825061
new,-0.05120091098608464,-0.4004610679262368
scientist,0.3724090203802058,-0.14393815491940593
see,-0.1558184946949178,-0.08053363937161559
fact,0.18152261472769957,-0.12623061278889383
use,0.30817568663869266,0.07776556001082216
work,0.35297060985855067,-0.02697909727006154
take,0.04817948149161712,0.0468810110145989
people,-0.4614279900879003,-0.3795618416427523
many,-0.3397396708256373,-0.24737296076528373
time,-0.0570481134936837,-0.07944649952589562
study,0.17350349281407607,0.12627045676360069
way,-0.024383775956894876,-0.010592591121848481
scientific,0.48638340047852324,0.13316367693437603
now,-0.3841218549284474,-0.041913179517522145
say,-0.31361177063565343,0.09556280207545852
first,-0.2024979176566184,-0.1726911262393234
become,-0.20704320269325246,0.028350338075058833
social,0.2916376347000783,0.3166056084551168
one,-0.4627518263808354,-0.05006293754675597
statement,0.8652008340639556,-0.018532244518127614
chapter,-0.00878703576185207,-0.018987275700689366
world,-0.5886013155502389,0.47180042734677186
even,-0.24111988944212884,0.16885549009670836
much,-0.21059457645656735,-0.0921307137455853
like,-0.2450037200952582,-0.076456171780823
claim,-0.10786991969556294,-0.4040881338141148
may,-0.3273944839709933,-0.278702847404068
another,-0.16376565885248714,0.01986354035311913
point,0.07854820935302151,-0.044368130036965124
since,-0.39644835560187497,-0.13547279344312724
know,-0.15433540504625903,-0.0648820251986393
thing,-0.4886448696751588,0.3008983380366329
part,-0.0985413904465556,-0.44100508865026933
different,-0.11653923893930074,0.15831416396409137
figure,-0.256053740741522,0.2082240280738098
without,-0.3850692182341614,0.11194903876994823
order,0.2204846168546554,0.06837405370436804
paper,0.17057786522624255,-0.35401496846879577
also,0.026412012330813233,-0.006362933183821089
however,0.46305549964834464,-0.08807270280583378
example,0.731684080766604,-0.05875604698599042
follow,-0.12599649471425284,-0.20587783980099994
give,-0.02906727520813934,-0.10257814549813297
object,-0.16215827494127974,0.21371787647736623
thus,0.31662887425268604,-0.008932788864244057
nature,-0.05888653440224374,-0.03635054028673981
question,-0.1685529292470204,0.17065539670564536
possible,0.10681761101403486,-0.04729230888991269
form,-0.09119779513812688,0.09467630166381083
term,0.62393364969454,0.3131146867921219
substance,0.7620469607944563,0.10132392858539956
word,-0.31604354349684505,0.2719923513082388
well,-0.07819077427710373,-0.05048230644858624
number,0.0716717891977714,-0.26437488013721344
call,-0.3133521962367936,-0.1718215538020212
activity,1.0173199649542053,0.2447673930295019
end,-0.2531900472696858,-0.18804079491873665
human,-0.6675060918200253,0.9714991341728251
mean,-0.3239104504150804,0.08293675052959606
group,0.6036705287780919,-0.1450060672291214
come,-0.3029805550557006,-0.020554449178878494
find,0.06498758138466515,0.11204081716924279
hand,-0.2603108108656241,0.1292504195937328
papers,0.8600724194657022,-0.12408649271546031
might,0.10799318113643426,-0.02457984967866643
life,0.862961769008248,0.3621086948768685
knowledge,0.052808446385106136,0.16689910892174004
matter,-0.4327183974541608,0.06311765149987643
believe,-0.3648346274096166,-0.12617326719046634
case,-0.015612378731700963,-0.2085051975793247
account,0.6839704527609463,0.2410548538694158
interest,0.04931994551691485,-0.4451886855445313
field,0.9423987033547815,0.27964300406289216
able,-0.234453925129039,0.044396192021634306
research,0.5463274164860322,-0.10378090766446557
show,0.2566031330679783,-0.0011174352303485126
need,-0.29602518107558956,-0.06467634628718495
reference,-0.13601772943590748,0.37561919899510915
still,-0.40930188785900745,-0.29218782481615474
simply,-0.0991096279062956,-0.2505374489752086
trf,1.4991379441321189,0.19765324349775393
write,0.2146769322785267,-0.3182135244607612
history,-0.47080262615263174,0.5229173612810728
result,0.602451834481981,-0.020253554699765884
long,-0.2503797090386667,-0.23005582708404365
place,-0.04598006314418451,-0.05765521778500286
construction,0.7037387521438598,0.11543081143905408
society,-0.43525118152663766,0.05832911679064483
want,-0.29455748229943896,0.10902730686492648
turn,-0.17857432605251577,-0.1268632850530526
article,0.2614190011252865,-0.4897803147290068
try,-0.2478689342000229,0.06159817053110673
year,0.20890584686412106,0.00715328658748769
force,-0.3471906881463621,0.12116022696308745
provide,0.5044078375334089,-0.002923810751229887
action,-0.4734254179594803,0.4665162212211414
set,0.23834571516281336,-0.07155184571013506
start,-0.3662783452306017,-0.6112469984564501
text,-0.2693039988598347,-0.4643102968291517
reader,-0.1423132831111793,-0.5372634060845373
back,-0.48871680781194005,-0.25386740660025775
get,-0.20225814765202238,-0.3023472188308363
technical,-0.04744090282965015,-0.13801167831807765
argument,0.7975235174879948,0.05057546302999725
controversy,-0.28246865426549633,-0.6699683475291861
process,0.6956741918723771,0.04695301283027517
problem,0.3821985302095301,-0.1735235416231599
look,-0.26992804609008725,-0.18994540530626722
never,-0.36906019937493434,0.25684899211496137
second,-0.21853177547781827,9.689320663637727e-4
observer,1.2144268938531209,0.10383661660546628
socrates,-0.8082302984163927,1.2269350290312275
schally,0.45413170518793616,-0.5037836043716454
produce,0.4979854953485061,0.0683510004463429
pasteur,-0.7413757631895532,0.6425408273009643
discussion,0.8669978456422471,0.08316336884543968
practice,0.0364139345281391,0.4479281281605268
difference,0.1980667915826545,0.05707769781018546
position,0.5085795606336306,0.16751624816563757
guillemin,0.916420073695377,-0.16809285438412147
reason,-0.23482990768873713,0.2905773238202501
element,-0.48353691386732806,-0.4953080051462072
outside,-0.07816448456317576,-0.20724858960499043
inscription,0.7156648499072641,-0.14696762450191506
structure,0.7188014370458754,-0.17075765552471717
network,-0.14366409628853047,-0.460394499030545
understand,-0.2032600221799263,0.09332311597803973
just,-0.27985807859853457,0.0024767765447186348
definition,-0.34124191290754247,0.13214463060572645
move,-0.12312468766453702,-0.01061434246985043
whole,-0.34640612008679483,0.01572101751019683
model,-0.26295145751138493,-0.2510746581613328
right,-0.4125895030497814,0.04129944778233729
something,-0.3586966464700544,-0.11033453844794104
author,0.07218189031810991,-0.5839487293162561
belief,-0.3567951996036368,0.1582612386779098
less,-0.04721623664585383,-0.2845626535321667
instead,-0.10088147439070122,0.1455953580630565
course,0.004198071123267237,0.3932602628427687
seem,-0.16958482990935267,0.0774637014218199
mind,-0.486018186930499,0.28968127500849783
always,-0.5047539055510663,0.36954381456516094
nonhuman,-0.823358263756937,1.1855490487583584
book,-0.17524895837000115,-0.4225339805513082
enough,-0.4104518485026583,-0.4264980818435078
little,-0.2055028237120057,0.0944464609581159
reality,-0.06747850921465096,0.6653870984033369
think,0.0051937890214800875,0.1425217241221001
together,-0.33694901858551446,-0.21971403152380928
far,-0.0720389163879159,-0.12769538454734927
every,-0.3706786852817057,-0.030882369269129992
necessary,0.10986059902826385,-0.25774517218232995
notion,0.43817668452065184,0.25607576337435084
black,-0.35529800025646835,-0.7853924055626454
nothing,-0.4444231596268688,0.17970457771580192
define,-0.3195688938183383,0.07344090035588435
idea,0.23670919374913313,-0.090997506435677
rather,0.6343290578922365,0.23821786609918275
material,0.6729378082721578,0.3232805530217839
obtain,0.45163436847149907,-0.07664098306980632
inside,-0.545194858272308,-0.6391902200999084
sense,0.3880071238233013,0.35898442003170183
politics,-0.7365319430490396,1.0020703297904183
important,0.26361296262396144,0.067288676960162
either,-0.09535576197197153,0.034537994399019806
appear,0.26361296262396144,0.067288676960162
