,actor_network,agonistic,alteracao,articulation,black_box,categorias_dominio,construction,diplomacia,enrollment,experiencia,felicidade,gaia,immutable_mobile,inscription,instituicao,militar,modernos,modos_existencia,network,preposicao,proposition,textil,topologia,trajetoria_passe,translation,valores
actor_network,0,0,0,0,0,29,0,4,0,2,6,3,2,2,9,2,8,9,41,6,0,22,14,15,1,4
agonistic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
alteracao,0,0,0,18,0,58,18,11,1,80,37,3,0,0,28,16,48,48,19,10,3,27,99,160,6,5
articulation,0,0,18,0,0,25,13,4,0,29,9,3,0,0,10,8,24,27,5,9,1,16,38,69,2,2
black_box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
categorias_dominio,29,0,58,25,0,0,11,34,2,141,82,7,16,6,130,36,189,88,264,73,10,133,285,276,14,20
construction,0,0,18,13,0,11,0,4,0,30,0,1,0,1,15,18,80,18,17,0,0,10,33,26,4,0
diplomacia,4,0,11,4,0,34,4,0,0,42,4,35,2,0,87,55,124,26,17,11,1,15,18,14,0,1
enrollment,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,2,3,0,9,1,0,13,4,4,5,0
experiencia,2,0,80,29,0,141,30,42,1,0,42,5,2,3,82,73,243,82,108,25,3,104,188,168,9,5
felicidade,6,0,37,9,0,82,0,4,0,42,0,0,6,0,24,10,29,42,25,32,6,33,76,113,7,7
gaia,3,0,3,3,0,7,1,35,0,5,0,0,2,1,66,45,81,13,13,1,2,8,28,9,0,1
immutable_mobile,2,0,0,0,0,16,0,2,0,2,6,2,0,8,3,0,8,11,15,2,0,6,17,19,1,0
inscription,2,0,0,0,0,6,1,0,0,3,0,1,8,0,1,4,5,0,10,3,0,0,17,22,0,0
instituicao,9,0,28,10,0,130,15,87,2,82,24,66,3,1,0,78,212,75,107,15,5,94,140,104,8,7
militar,2,0,16,8,0,36,18,55,2,73,10,45,0,4,78,0,144,29,45,4,2,35,78,45,18,2
modernos,8,0,48,24,0,189,80,124,3,243,29,81,8,5,212,144,0,97,158,27,5,147,201,136,19,20
modos_existencia,9,0,48,27,1,88,18,26,0,82,42,13,11,0,75,29,97,0,68,35,3,61,133,143,10,7
network,41,0,19,5,1,264,17,17,9,108,25,13,15,10,107,45,158,68,0,39,2,236,379,301,18,33
preposicao,6,0,10,9,0,73,0,11,1,25,32,1,2,3,15,4,27,35,39,0,14,43,79,82,8,4
proposition,0,0,3,1,0,10,0,1,0,3,6,2,0,0,5,2,5,3,2,14,0,2,8,13,2,0
textil,22,1,27,16,0,133,10,15,13,104,33,8,6,0,94,35,147,61,236,43,2,0,197,183,31,23
topologia,14,0,99,38,0,285,33,18,4,188,76,28,17,17,140,78,201,133,379,79,8,197,0,584,49,31
trajetoria_passe,15,3,160,69,3,276,26,14,4,168,113,9,19,22,104,45,136,143,301,82,13,183,584,0,43,32
translation,1,0,6,2,0,14,4,0,5,9,7,0,1,0,8,18,19,10,18,8,2,31,49,43,0,0
valores,4,0,5,2,0,20,0,1,0,5,7,1,0,0,7,2,20,7,33,4,0,23,31,32,0,0
