,actor_network,agonistic,alteration,articulation,black_box,construction,diplomacy,domain_category,enrollment,experience,felicity,gaia,immutable_mobile,inscription,institution,militar,moderns,modes_of_existence,network,preposition,proposition,textil,topologia,trajectory_pass,translation,values
actor_network,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,2,1,22,1,0,7,4,1,0,0
agonistic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alteration,0,0,0,2,0,0,0,6,0,11,23,0,0,0,6,2,1,16,4,2,1,6,30,36,0,1
articulation,0,0,2,0,0,3,0,3,0,6,5,1,0,0,0,1,4,5,0,1,1,2,13,17,0,0
black_box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction,0,0,0,3,0,0,1,1,0,2,0,0,0,0,0,1,17,2,8,0,0,2,9,4,0,0
diplomacy,0,0,0,0,0,1,0,2,0,3,0,5,0,0,17,9,29,6,2,1,0,0,4,1,0,0
domain_category,11,0,6,3,0,1,2,0,0,29,4,0,3,0,31,3,40,22,70,10,5,30,53,33,2,2
enrollment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,4,1,0,3,0
experience,0,0,11,6,0,2,3,29,0,0,4,1,0,1,13,6,56,11,15,4,0,30,36,28,0,3
felicity,0,0,23,5,0,0,0,4,0,4,0,0,0,0,4,0,3,14,3,6,1,2,23,36,1,2
gaia,0,0,0,1,0,0,5,0,0,1,0,0,1,0,8,7,19,1,1,0,0,0,4,0,0,0
immutable_mobile,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,1,2,2,0,0,0,7,7,0,0
inscription,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,3,1,0,0,7,6,0,0
institution,0,0,6,0,0,0,17,31,0,13,4,8,0,0,0,19,48,14,17,1,1,19,15,22,1,1
militar,0,0,2,1,0,1,9,3,2,6,0,7,0,1,19,0,25,7,6,2,1,6,13,5,5,0
moderns,2,0,1,4,0,17,29,40,0,56,3,19,1,2,48,25,0,22,25,2,0,20,37,10,2,4
modes_of_existence,1,0,16,5,0,2,6,22,0,11,14,1,2,0,14,7,22,0,15,8,0,11,26,41,3,1
network,22,0,4,0,0,8,2,70,3,15,3,1,2,3,17,6,25,15,0,16,0,93,91,54,3,11
preposition,1,0,2,1,0,0,1,10,1,4,6,0,0,1,1,2,2,8,16,0,2,14,15,20,3,0
proposition,0,0,1,1,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,2,0,0,3,2,1,0
textil,7,0,6,2,0,2,0,30,4,30,2,0,0,0,19,6,20,11,93,14,0,0,35,37,6,11
topologia,4,0,30,13,0,9,4,53,1,36,23,4,7,7,15,13,37,26,91,15,3,35,0,205,9,6
trajectory_pass,1,0,36,17,0,4,1,33,0,28,36,0,7,6,22,5,10,41,54,20,2,37,205,0,5,3
translation,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1,5,2,3,3,3,1,6,9,5,0,0
values,0,0,1,0,0,0,0,2,0,3,2,0,0,0,1,0,4,1,11,0,0,11,6,3,0,0
