obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_2013_aime_en,latour,inscription,inscription,1,237072,to document the development of the technologies of visualization and,inscription,"that are at the heart of scientific life, from the",0
latour_2013_aime_en,latour,inscription,inscription,1,239959,"the intellectus, but it never stops erecting bridges between one",inscription,and the next. This accounts for all the weirdness of,0
latour_2013_aime_en,latour,inscription,inscription,1,251913,"materials, the maintenance of a geometric constant compatible with the",inscription,"on a map. It does maintain itself, since it exists",0
latour_2013_aime_en,latour,inscription,inscription,1,252237,through it does not have the same prop- erties of,inscription,"documentation, or information as the properties that come and go",0
latour_2013_aime_en,latour,inscription,inscriptions,1,696638,across the often very lengthy and very trying cascade of,inscriptions,"ideographs, each of which differs from the previous one and",0
latour_2013_aime_en,latour,inscription,inscription,1,700144,to attach in an uninterrupted succession—in fact interrupted at each,inscription,by the dissimilarity between two successive stages—the narrative published along,0
latour_2013_aime_en,latour,inscription,inscription,1,700462,to see (especially in the case of alleged fraud) the,inscription,at the n - 1 level that serves as head,0
latour_2013_aime_en,latour,inscription,inscription,1,703787,The sciences start to forget how much their forms of,inscription,differ from paintings—and through how many dizzying stages chains of,0
latour_2013_aime_en,latour,inscription,inscriptions,1,731556,to maintain a constant across the dizzying transformations of distinct,inscriptions,would never succeed in reaching remote beings [habâ•›·â•›ref]. Habit is,0
latour_2013_aime_en,latour,inscription,inscriptions,1,903800,the beings of reproduction to behave as well as the,inscriptions,that allow us to know them [repâ•›·â•›dc]; ask the passage,0
latour_2013_aime_en,latour,inscription,inscriptions,1,973050,ensure the maintenance of a constant through a series of,inscriptions,the hurdle race described in Chapter 4—but to ensure the,0
latour_2013_aime_en,latour,inscription,inscriptions,1,1097344,"see, spreads through instrumentation and the quite particular ideography of",inscriptions,"[refâ•›·â•›org]. The scripts’ trajectories cadence, order, and collect, but in",0
latour_2013_aime_en,latour,inscription,inscription,1,1118951,"script that neverthe- less retains its nature as instruction, injunction,",inscription,"distribu- tion, even if it was drafted a very long",0
latour_2013_aime_en,latour,inscription,inscriptions,1,1124589,what is at stake is another series of instructions and,inscriptions,that dispatch the roles between those who “execute” and those,0
latour_2013_aime_en,latour,inscription,inscriptions,1,1188232,"same time: if this is a book, where are the",inscriptions,"the stylus, the author, and the printing press? If indifferent,",0
latour_2013_aime_en,latour,inscription,inscription,1,1188918,"other, 445 • §3-ch16 equally dizzying leap of technologies of",inscription,that make it possible to reach remote states of affairs,0
latour_2013_aime_en,latour,inscription,inscriptions,1,1236636,the Experience of Scruples • between the movement of the,inscriptions,that are necessary to reference and the movement of the,0
latour_2013_aime_en,latour,inscription,inscriptions,1,1237322,"at last. In all cases, we find ourselves confronted by",inscriptions,"instruments, signals, books, equations, models, but their meaning, their direction,",0
latour_2013_aime_en,latour,inscription,inscription,1,1251895,a planetary scale [att]; the mutual embeddedness of scripts through,inscription,arrangements that allow changes of scale and the moving of,0
latour_2013_aime_en,latour,inscription,inscriptions,1,1298030,"space, actant [ref]erence Distance and dissemblances of forms Paving with",inscriptions,Impossibility of being [pol]itics Circle productive of continuity represented or,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,7842,(74) will serve to de- fine chains of reference and,immutable mobiles,(77) by showing that reference is attached neither to the,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,8089,since it is clear that existents do not pass through,immutable mobiles,in order to persist in being (82). Although there is,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,215775,and will serve to define chains of reference existence. and,immutable mobiles,by showing that reference is attached neither to the knowing,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,216262,through a crossing [repâ•›·â•›ref] that is hard to keep in,immutable mobiles,in order to persist in sight especially when we have,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,236097,"chains of reference, and let us say that what char-",immutable mobiles,acterizes these highly original chains is that they are tiled,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,236226,and covered over with what I have come to call,immutable mobiles,The oxymoron is intentional. The expression can indeed be taken,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,236919,"on to anotherÂ€. . .Â€In the first sense, the expression",immutable mobiles,sums up the efforts of the history and sociology of,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,239290,the world itself. The gain in knowl- edge allowed by,immutable mobiles,stems precisely from the fact that the map in no,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,241156,"other in both directions, we have the impression that these",immutable mobiles,are almost miraculous! It is certainly true that at the,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobile,1,251742,one thing is certain: it does not leap from one,immutable mobile,"to another in order to discern, through the discontinuity of",0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,252901,"category mistake, we must no longer confuse the displacement of",immutable mobiles,along the cascades of reference 82 A Perilous Change of,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,278843,accessible by paving the trajectory with the two-way movement of,immutable mobiles,Readers will better appreciate the full difficulty of doing the,0
latour_2013_aime_en,latour,immutable_mobile,"immutable
             mobiles",1,313031,"transfer of constants, or, to use the technical term, of","immutable
             mobiles",—and the requirements of subsistence—maintenance in exis- tence through the,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,323802,be taken for the entirety of the risky transfer of,immutable mobiles,that the network as a whole made possible. It is,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,369691,that permit the cascades of transformations we have noted above.,immutable mobiles,"do end up traversing the universe, but it is because",0
latour_2013_aime_en,latour,immutable_mobile,"immutable
           mobiles",1,562750,imagine “trans- ports without transformation” (believing he is imitating the,"immutable
           mobiles","necessary to reference), he ends up with the exact opposite",0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,868204,"resembles reference, even if it doesn’t have the vehicle of",immutable mobiles,or the help of formalisms to get it to its,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,877271,emblem of that expulsion. Starting from the moment when the,immutable mobiles,"begin to circulate, painters had to work harder and harder",0
latour_2013_aime_en,latour,immutable_mobile,immutable mobile,1,878799,"feel themselves, too, resuscitated; but before the flight of an",immutable mobile,323 • §3-ch11 conversion is impossible. It is as though,0
latour_2013_aime_en,latour,immutable_mobile,immutable mobiles,1,900183,"be straightening out politics. Now, the transport without transformation of",immutable mobiles,"(itself misunderstood, as we must keep reminding ourselves) can do",0
latour_2013_aime_en,latour,black_box,black box,1,595303,"it from analysis, making it a carefully sealed and concealed",black box,. It may be hard to penetrate these places that,0
latour_2013_aime_en,latour,actor_network,actor-network,1,4584,"without respecting domain bounda- ries, thanks to the notion of",actor-network,"(30), which makes it possible to distinguish networks as re-",0
latour_2013_aime_en,latour,actor_network,actornetwork,1,7077,"crossing (63), which raises a problem of compatibility with the",actornetwork,theory (63). Recapitulation of the conditions for the inquiry (64).,0
latour_2013_aime_en,latour,actor_network,actor-network,1,105759,"domain boundaries, thanks to the notion of types of passes.",actor-network,which makes it possible to distinguish networks as result from,0
latour_2013_aime_en,latour,actor_network,actor-network,1,112137,"to the notion hypothesis is not so absurd, that of",actor-network,"of actor-network, Instead of wondering, for example, if Science is",0
latour_2013_aime_en,latour,actor_network,actor-network,1,112157,"notion hypothesis is not so absurd, that of actor-network. of",actor-network,"Instead of wondering, for example, if Science is a domain",0
latour_2013_aime_en,latour,actor_network,actor-network,1,122446,of irreduction —that is found at the heart of the,actor-network,theory has demonstrated its fruitfulness by authorizing a number of,0
latour_2013_aime_en,latour,actor_network,actor-network,1,152838,doubt be much better grasped by an approach of the,actor-network,"([net]) type. No, what interests our investigator about Church history",0
latour_2013_aime_en,latour,actor_network,actor-network,1,160586,of back to the example of law. compatibility with the,actor-network,theory. True and false are thus expressed within a given,0
latour_2013_aime_en,latour,actor_network,actor-network,1,205337,"compatibility with the problem of “software compatibility,” as the computer",actor-network,"theory. scientists would say, between the actor-network theory [ant] and",0
latour_2013_aime_en,latour,actor_network,actor-network,1,205393,"as the computer actor-network theory. scientists would say, between the",actor-network,theory [ant] and what we have just learned to call,0
latour_2013_aime_en,latour,actor_network,actants,1,698667,"• §2-ch9 (they shift toward other spaces, other times, other",actants,but whereas we readily allow the former to leave without,0
latour_2013_aime_en,latour,actor_network,actants,1,792551,"forms by shifting into other times, other spaces, and other",actants,"are also capable, by retroaction, of figuring the speaker as",0
latour_2013_aime_en,latour,actor_network,actor-network,1,803169,"they follow associations, whatever these may be. “The social,” in",actor-network,"theory, does not define a material different from the rest,",0
latour_2013_aime_en,latour,actor_network,actor-network,1,954809,subsist. Such at least is the starting point of the,actor-network,"theory, which the present inquiry seeks to complete. If there",0
latour_2013_aime_en,latour,actor_network,actants,1,1048626,"another space (“the clock tower”), and toward other actors or",actants,"(“Peter” and “Paul,” finally reunited after a separation). But the",0
latour_2013_aime_en,latour,actor_network,actor-network,1,1118754,"This is even, as we know, the origin of the",actor-network,theory in sociology: what is called the “technological dimension” of,0
latour_2013_aime_en,latour,actor_network,actant,1,1297946,"[fic]tion Vacillation between material and form Triple shifting: time, space,",actant,[ref]erence Distance and dissemblances of forms Paving with inscriptions Impossibility,0
latour_2013_aime_en,latour,translation,translated,1,189,Existence An Anthropology of the Moderns · bruno latour ·,Translated,"by Catherine Porter Harvard University Press Cambridge, Massachusetts London, England",0
latour_2013_aime_en,latour,translation,translated,1,1286,: an anthropology of the moderns / Bruno Latour ;,translated,by Catherine Porter. pages cm “The book was originally published,0
latour_2013_aime_en,latour,translation,translation,1,34275,"name aime: An Inquiry into Modes of Existence, the English",translation,of the French eme: Enquête sur les Modes d’Existence. If,1
latour_2013_aime_en,latour,translation,translated,1,144473,"that will be said to have been associated, mobilized, enrolled,",translated,in order to participate in the situation. There will be,0
latour_2013_aime_en,latour,translation,translation,1,145368,at all events to “pass through”—something we shall call a,translation,"At the same time, our anthropologist has understood that another",0
latour_2013_aime_en,latour,translation,translate,1,189144,"interpretive key, which will deter- mine how you are understand,",translate,and transcribe what is to follow. But if the prepositions,0
latour_2013_aime_en,latour,translation,translated,1,199641,"unexpected beings that have had to be enrolled, mobilized, shifted,",translated,in order to ensure its subsistence. The term “network” reminds,0
latour_2013_aime_en,latour,translation,translations,1,329030,up to this point you had to concern yourself with,translations,"In the place of the crossing, only a simple transport",0
latour_2013_aime_en,latour,translation,translation,1,364475,"through simple displacement, without ever jumping through any operation of",translation,They would achieve total coincidence between words and meaning and,0
