obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,17,An Inquiry into,Modes of Existence,An Inquiry into Modes of Existence An Anthropology of the,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,62,An Inquiry into Modes of Existence An Inquiry into,Modes of Existence,An Anthropology of the Moderns · bruno latour · Translated,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,1187,Bruno. [Enquête sur les modes d'existence. English] An inquiry into,modes of existence,: an anthropology of the moderns / Bruno Latour ;,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,3686,involving speech acts (17) while we learn to identify different,modes of existence,"(19). The goal is, first, to accompany a people vacillating",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,4087,• Part One How to Make an Inquiry into the,Modes of Existence,of the Moderns Possible ·Chapter 1· Defining the Object of,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,4725,from networks as process (31). The inquiry defines a first,mode of existence,"the network [net], through a particular “pass,” or passage (33).",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,7683,"identifying passes (73), which allow us to disamalgamate two distinct",modes of existence,(73). Description of an unremarkable itinerary: the example of a,0
latour_2013_aime_en,latour,modes_of_existence,"modes
of existence",1,8242,of chains of reference [ref] (83) there are indeed two,"modes
of existence",that co-respond to each other (86). We must therefore register,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,8551,of the laboratory (89). Hence the salience of a new,mode of existence,"[rep], for reproduction (91) and of a crossing [repâ•›·â•›ref] that",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,12545,that we treat the notion of sign with skepticism (145).,Modes of existence,"are indeed at stake, and there are more than two",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,14923,• part Two How to Benefit from the Pluralism of,Modes of Existence,·Chapter 7· Reinstituting the Beings of Metamorphosis. . . .,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,17009,"terms of networks [tecâ•›·â•›net] (212), the detection of an original",mode of existence,(214) different from reproduction [repâ•›·â•›tec] (215). We need to return,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,17668,form of invisibility (222): the technological labyrinth (223). xi Its,mode of existence,depends on the [metâ•›·â•›tec] ruse (224) as much as on,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,18326,. . . . . . . 233 Multiplying the,modes of existence,"implies draining language of its importance (234), which is the",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,20056,re- sist the temptations of Occidentalism (261). Is there a,mode of existence,"proper to essence? (262) The most widespread mode of all,",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,20225,"prepositions while omitting them (264), habit [hab], too, is a",mode of existence,(265) with a paradoxical hiatus that produces immanence (266). By,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,20378,experience of an attentive habit (267) we see how this,mode of existence,manages to trace continuities (268) owing to its particular felicity,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,20830,has its own way of playing with habits (275). This,mode of existence,"can help define institutions positively (277), provided that we take",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,21134,"the temptation of fundamentalism (280). ·Conclusion, Part Two· Arranging the",Modes of Existence,. . . . . . . . . .,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,28320,is necessarily to dis/reorganize (393). Here we have a distinct,mode of existence,(393) with its own explicit felicity and infelicity conditions (395),0
latour_2013_aime_en,latour,modes_of_existence,"modes of
existence",1,34243,brought together under the code name aime: An Inquiry into,"Modes of
Existence",the English translation of the French eme: Enquête sur les,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,41152,"to profit, in Part xxv Two, from the pluralism of",modes of existence,"and to get ourselves out of the prison, first, of",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,45221,we have to choose → by proposing a identify different,modes of existence,"different system of coordinates. The goal is, first, to accompany",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,88198,category mistakes bearing on what I have called the various,modes of existence,"By comparing conflicts of values in pairs—scientific versus religious, for",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,89843,"to me, for the reader: does the redescription of a",mode of existence,make it possible to clear up conflicts between values—conflicts that,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,93200,different rationalism has not been able to define the adven-,modes of existence,"ture of modernization in which it has nevertheless, at least",0
latour_2013_aime_en,latour,modes_of_existence,"modes
of existence",1,93924,is no use hiding the fact that the question of,"modes
of existence","has to do with metaphysics or, better, ontology—regional matters, to",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,96834,the Real will recognize its own!” To speak of different,modes of existence,and claim to be investi- gating these modes with a,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,99184,not been able to see any way this inquiry into,modes of existence,"could do without philosophy. I am turning to philosophy, then,",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,105393,part 1 • How to Make an Inquiry into the,Modes of Existence,of the Moderns Possible ·Chapter 1· Defining the Object of,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,121966,a more specific: it designates a series of associations first,mode of existence,revealed thanks to a trial—consisting in the surprises the network,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,215304,"there of method that entail identifying passes, are indeed two",modes of existence,that which allow us to disamalgamate two co-respond to each,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,215411,allow us to disamalgamate two co-respond to each other. distinct,modes of existence,We must therefore register new felicity Description of an unremarkable,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,261222,"indeed two And now, finally, we can talk about correspond-",modes of existence,"ence again, but this “co-response” is no longer the that",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,263452,"“thing,” completely, and to speak from now on only of",modes of existence,all real and all capable of truth and falsity—but each,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,263686,going to begin to understand why our inquiry bears on,modes of existence,"At first glance, the idea of attributing the term “existence”",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,265016,representations to come: we need to harmonize the notion of,mode of existence,"with the work of reference, and, conversely, recognize in existents",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,268331,simply to accept the project of an inquiry into the,modes of existence,an inquiry that will proceed step-by-step and in step with,0
latour_2013_aime_en,latour,modes_of_existence,"mode
           of existence",1,269268,"reference, by granting it the ontological dignity of being a","mode
           of existence","but while refusing to allow it to substitute itself, through",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,272818,we have an example of what it means for two,modes of existence,"to interact to some extent, to correspond to one another",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,276377,depriving it of the possibility of being taken as a,mode of existence,that is complete in its kind. Is it really praising,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,277975,"(stressing the “re” of re-production), as the name for the",mode of existence,through which any entity whatsoever crosses through the hiatus 91,0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,301121,"point at least, the quarrel of the Universals. If each",mode of existence,defines a form of alteration through which one must pass,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,310945,of a space so invasive that it would stifle all,modes of existence,"As if the Flood had devastated everything, and there were",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,314564,not that there is indeed now room to accommodate other,modes of existence,rather than simply multiple representations of a single world.) 106,0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,331503,order to continue to exist. We shall skip over both,modes of existence,"[repâ•›·â•›ref] at once. This time, there will be nothing painful",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,357450,"possible, and ensures no protection whatsoever for the deployment of",modes of existence,"In the face of this institution, anthropology (conjugated with militancy,",0
latour_2013_aime_en,latour,modes_of_existence,modes of existence,1,360033,a Circle that the course of reference cannot judge properly.,Modes of existence,"are indeed at stake, and there are more than two",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,382341,knows the three criteria by which one can recognize a,mode of existence,"First, thanks to a category mistake: she feels vaguely, in",0
latour_2013_aime_en,latour,modes_of_existence,mode of existence,1,383142,conditions that would make it possible to say of a,mode of existence,in its own idiom under what conditions it is truthful,0
latour_2013_aime_en,latour,modes_of_existence,"mode
of existence",1,391487,to do nothing but lie for all time. In this,"mode
of existence","there is something sui generis, in the literal sense of",0
