,actor_network,agonistic,alteracao,articulation,black_box,categorias_dominio,construction,diplomacia,enrollment,experiencia,felicidade,gaia,immutable_mobile,inscription,instituicao,militar,modernos,modos_existencia,network,preposicao,proposition,textil,topologia,trajetoria_passe,translation,valores
actor_network,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,2,1,22,1,0,7,4,1,0,0
agonistic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alteracao,0,0,0,2,0,6,0,0,0,11,23,0,0,0,6,2,1,16,4,2,1,6,30,36,0,1
articulation,0,0,2,0,0,3,3,0,0,6,5,1,0,0,0,1,4,5,0,1,1,2,13,17,0,0
black_box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
categorias_dominio,11,0,6,3,0,0,1,2,0,29,4,0,3,0,31,3,40,22,70,10,5,30,53,33,2,2
construction,0,0,0,3,0,1,0,1,0,2,0,0,0,0,0,1,17,2,8,0,0,2,9,4,0,0
diplomacia,0,0,0,0,0,2,1,0,0,3,0,5,0,0,17,9,29,6,2,1,0,0,4,1,0,0
enrollment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,4,1,0,3,0
experiencia,0,0,11,6,0,29,2,3,0,0,4,1,0,1,13,6,56,11,15,4,0,30,36,28,0,3
felicidade,0,0,23,5,0,4,0,0,0,4,0,0,0,0,4,0,3,14,3,6,1,2,23,36,1,2
gaia,0,0,0,1,0,0,0,5,0,1,0,0,1,0,8,7,19,1,1,0,0,0,4,0,0,0
immutable_mobile,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,1,2,2,0,0,0,7,7,0,0
inscription,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,3,1,0,0,7,6,0,0
instituicao,0,0,6,0,0,31,0,17,0,13,4,8,0,0,0,19,48,14,17,1,1,19,15,22,1,1
militar,0,0,2,1,0,3,1,9,2,6,0,7,0,1,19,0,25,7,6,2,1,6,13,5,5,0
modernos,2,0,1,4,0,40,17,29,0,56,3,19,1,2,48,25,0,22,25,2,0,20,37,10,2,4
modos_existencia,1,0,16,5,0,22,2,6,0,11,14,1,2,0,14,7,22,0,15,8,0,11,26,41,3,1
network,22,0,4,0,0,70,8,2,3,15,3,1,2,3,17,6,25,15,0,16,0,93,91,54,3,11
preposicao,1,0,2,1,0,10,0,1,1,4,6,0,0,1,1,2,2,8,16,0,2,14,15,20,3,0
proposition,0,0,1,1,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,3,2,1,0
textil,7,0,6,2,0,30,2,0,4,30,2,0,0,0,19,6,20,11,93,14,0,0,35,37,6,11
topologia,4,0,30,13,0,53,9,4,1,36,23,4,7,7,15,13,37,26,91,15,3,35,0,205,9,6
trajetoria_passe,1,0,36,17,0,33,4,1,0,28,36,0,7,6,22,5,10,41,54,20,2,37,205,0,5,3
translation,0,0,0,0,0,2,0,0,3,0,1,0,0,0,1,5,2,3,3,3,1,6,9,5,0,0
valores,0,0,1,0,0,2,0,0,0,3,2,0,0,0,1,0,4,1,11,0,0,11,6,3,0,0
