grupo,n_ocorrencias,n_excluidas,frequencia_por_10k_palavras,variantes_top
topologia,514,0,26.43,"path(90), trajectory(61), outside(55), trajectories(34), paths(33)"
network,255,1,13.11,"networks(139), network(116)"
textil,201,0,10.34,"net(59), thread(52), threads(14), ties(13), twists(7)"
militar,129,0,6.63,"war(22), mobilizing(20), defend(12), enemies(9), wars(7)"
construction,74,0,3.81,"construction(51), constructed(20), constructing(3)"
articulation,56,0,2.88,"articulated(23), articulation(21), articulate(6), articulations(6)"
translation,40,1,2.06,"translation(17), translated(9), translations(7), translate(6), translates(1)"
inscription,20,0,1.03,"inscription(10), inscriptions(10)"
immutable_mobile,20,0,1.03,"immutable mobiles(16), immutable mobile(2), immutable
             mobiles(1), immutable
           mobiles(1)"
actor_network,17,0,0.87,"actor-network(12), actants(3), actornetwork(1), actant(1)"
proposition,11,0,0.57,"proposition(7), propositions(4)"
enrollment,4,0,0.21,"enrolled(3), enroll(1)"
black_box,1,0,0.05,black box(1)
agonistic,1,0,0.05,agonistics(1)
centre_of_calculation,0,0,0.00,
trial_of_strength,0,0,0.00,
factish,0,0,0.00,
circulating_reference,0,0,0.00,
spokesperson,0,0,0.00,
